speaker	avg_en avg_zh
SPEAKER9643	0.13841556449388600	0.2836968856060810
SPEAKER9613	0.1447856732160420	0.35644345235978700
SPEAKER9625	0.25911827048716600	0.6231912397421320
SPEAKER9619	0.2598930445313450	0.4597504150867460
SPEAKER9610	0.26215611778777700	0.5348096751961210
SPEAKER9617	0.29073383345698500	0.2999668999825820
SPEAKER0048	0.29708736296743200	0.07020319691364420
SPEAKER3083	0.29877427346073100	0.49101842008531100
SPEAKER1076	0.315182532556355	0.29677043091505800
SPEAKER7001	0.31559506990015500	0.3844296965748070
SPEAKER9622	0.3407792057842020	0.4231064331252130
SPEAKER1061	0.3515047326684000	0.4028647966682910
SPEAKER9639	0.3707071754283140	0.19970600130285900
SPEAKER8002	0.3843536952510480	0.5267783187329770
SPEAKER0044	0.40787144368514400	0.018862268974771700
SPEAKER1092	0.4240102246403690	0.2584994620992800
SPEAKER9616	0.4294757241693640	0.5309198191544660
SPEAKER2014	0.4303021654486660	0.2475953364104500
SPEAKER9618	0.43048857095149800	0.5287237988355070
SPEAKER9645	0.442014475064031	0.35839206462019500
SPEAKER6099	0.4424731507897380	0.38155721304938200
SPEAKER9623	0.45599111209490500	0.13332450867372800
SPEAKER9629	0.4582760935580290	0.3496583289902280
SPEAKER9611	0.46194713419446600	0.1238495205493210
SPEAKER9633	0.46913722474817900	0.43914197716448000
SPEAKER9626	0.47369534987956300	0.18526843294967000
SPEAKER9604	0.48835731934135200	0.3735099108889700
SPEAKER1404	0.4954104426316920	0.06526584860985170
SPEAKER1408	0.5035807651467620	0.09042556241038260
SPEAKER0736	0.5051512189209460	0.2067637387663130
SPEAKER1362	0.5080645840615040	0.17524632127024200
SPEAKER9556	0.5092552028596400	0.08454570726025850
SPEAKER1502	0.5217004992067810	0.09117794441990550
SPEAKER9647	0.5281296422084170	0.08392700618477880
SPEAKER9646	0.5312636367355780	0.21724811407815000
SPEAKER1203	0.5316178310662510	0.35543077827896900
SPEAKER5029	0.5384300211444500	0.03339770821621640
SPEAKER9635	0.5385750037702650	0.3380509592613880
SPEAKER0739	0.571604722738266	0.10375198429101100
SPEAKER6902	0.5756069362163540	0.1352026603417470
SPEAKER1186	0.5842795178294180	0.00038552340511159900
SPEAKER3049	0.5976017512381080	0.14112718803808100
SPEAKER3068	0.5997060464695100	0.1987240799702700
SPEAKER1419	0.6147375114262100	0.14410955728963000
SPEAKER9649	0.6197706302007040	0.19221426964504600
SPEAKER9609	0.620581488246503	0.010012891853440800
SPEAKER0461	0.6311162412865090	0.07180122521021990
SPEAKER1260	0.6319481700658800	0.011953601997811300
SPEAKER1042	0.6425412497017530	0.07573180928593500
SPEAKER0457	0.6432818166911600	0.12355120465508700
SPEAKER9640	0.6440995565869590	0.17262924037111800
SPEAKER1046	0.6529103357344870	0.026294807539670700
SPEAKER3012	0.6532805487513540	0.1634743396891280
SPEAKER0122	0.6540665168315170	0.0977654797163268
SPEAKER1075	0.655733129568398	0.027153701684437700
SPEAKER9600	0.6595910765506600	0.2090077326391580
SPEAKER0131	0.6610814101994040	0.05216308497474530
SPEAKER9631	0.6631957799966990	0.052695334041972900
SPEAKER1503	0.6636307401582600	0.05113471237127670
SPEAKER5547	0.6664472058415410	0.14430576311424400
SPEAKER0981	0.6675609722733500	0.09761571533745150
SPEAKER0594	0.6684806410223250	0.04035794707306200
SPEAKER2027	0.6688512951135640	0.07974979870050450
SPEAKER0960	0.6713242858648300	0.03504016640217740
SPEAKER9634	0.6717573480197680	0.08998439676576740
SPEAKER0036	0.6783379670232530	0.1678020770661530
SPEAKER0096	0.6820380873978140	0.06584439077414570
SPEAKER1447	0.6829669311642650	0.020626242691651000
SPEAKER9606	0.6865488213620020	0.17976233000185200
SPEAKER0093	0.6883903928101060	0.12882925325539000
SPEAKER9624	0.6918483829269040	0.14341960614547100
SPEAKER8057	0.6932390620931980	0.27100495765917000
SPEAKER5220	0.6997192513197660	0.19315115425270100
SPEAKER9615	0.7052771308544010	0.19912030613473200
SPEAKER0306	0.7056862480938440	0.1904255559667950
SPEAKER1334	0.7081936910748480	0.0008470912581742600
SPEAKER0075	0.7123790669254960	0.04559641116939020
SPEAKER1435	0.7128167070448400	0.012860237898712500
SPEAKER0575	0.7152477676747370	0.13965627089492000
SPEAKER1181	0.7190945332869890	0.011432465233519900
SPEAKER5039	0.7201493337750440	0.1492034874856470
SPEAKER0070	0.7235339224338530	0.050303203653311400
SPEAKER1309	0.7264886677265170	0.006645155115256790
SPEAKER0049	0.7280608911067250	0.02352977294358430
